KM	Synechocystis sp.	0.007	reduced plastocyanin	*pH and temperature not specified in the publication
KM	Phaeodactylum tricornutum	-999	more	*kinetic analysis of cytochrome c6 and different plastocyanins as electron donor cofactors, detailed overview
KM	Chlamydomonas reinhardtii	-999	more	*kinetics of electron transfer of wild-type and mutant enzymes, overview
KM	Synechocystis sp. PCC 6803	-999	more	*Michaelis-Menten kinetics, three-state electron transport recombinantion kinetics, and kinetic modeling, interaction of PS I with external acceptors, methylviologen, and oxygen, detailed overview
KM	Synechocystis sp. PCC 6803	-999	more	*thermodynamics and kinetics
KM	Thermosynechococcus elongatus	-999	more	*thermodynamics and kinetics
MW	Chroococcidiopsis sp. TS-821	106800	*	*tetrameric enzyme form, blue native PAGE
PATH	*	photosynthesis	*	*
PATH	*	photosynthesis light reactions	*	*
