,fluxes,reduced_costs
EX_lys__L_e,0.0,4159.561758693649
EX_ser__L_e,0.0,4087.555671246505
EX_thm_e,0.0,92583.85109458819
EX_trp__L_e,0.0,15787.716608727662
GLUTRR,0.002367480669730682,-2.0
GLCS1,0.0,-2.0
GLCP,0.0,673.3883517543172
EX_din_e,0.0,14982.682183189083
EX_fmn_e,0.0,38885.666091031744
EX_gthox_e,-0.0,-2.0
HEMEOS,0.0,-2.0
ADMDC,0.0,-2.0
AGMT,0.0,-2.0000000000001776
ARGDC,0.0,7396.712511031756
ARGSS,0.19626733247224717,-2.0
SPMS,0.0,38295.7733904154
KDOCT2,0.025819340756883493,-1.9999999999995453
OAADC,0.0,471.2856464410726
MNNH,0.0,1358.557074537745
ALTRH,0.0,-2.0
UAGDP,0.06269577172688136,-2.0
UAGCVT,0.018438215484998934,-2.0
EX_acald_e,0.0,182.85356428286659
EX_melib_e,0.0,1871.501958995542
MACPD,0.0,-2.0
DMQMT,0.0,-1.999999999994543
ICHORS_copy1,0.0,-2.0
EX_sucr_e,-0.0,-2.0
EX_tre_e,0.0,2043.2967827806856
EX_zn2_e,-0.000226264268043207,2.0
DNMPPA,0.00044390262557461526,-2.0
HPPK2,0.00044390262557461526,-2.0
PTPATi,0.0004472202834643335,-2.0
HEX7,0.0,340.27337490064394
DXPRIi,0.0015851769394581716,-2.0
OPHBDC,0.00014796754185816762,-2.0
OHPHM,0.0,-2.0
DHORD2,0.21949292829135675,-2.0
INSK,0.0,530.4118575159741
ABTA,0.0,-2.0
SSALx,0.0,942.671945611868
ASPT,0.0,85.8978826524249
SERD_L,0.0,3676.4248969910086
THRD,0.0,2220.600643185532
HEX4,0.0,-2.0
ACCOAC,1.601328625125892,-2.000000000009095
NADK,0.00029659861529163223,-2.000000000003638
SUCBZS,0.0,-2.0
ICHORT,0.0,8317.602383672203
RBK_L1,0.0,-2.0
NTD2,0.0,495.5329401849032
NTD4,0.0,497.55968797529647
NTD5,0.0,3813.420510729926
NTD6,0.0,542.8454954916017
LGTHL,0.0,-2.0
PYDXPP,0.0,-2.0
PDXPP,0.0,1430.7743470092485
DXPS,0.0018811120231745082,-2.0
CDPMEK,0.0015851769394581716,-2.0
MECDPS,0.0015851769394581716,-2.0
DDGLK,0.0,-2.0
ICL,1.9639055028625176,-2.0
GLYCL,0.0,356.0254411512393
CMPN,0.0,132.29125888395447
HCYSMT,0.0,18853.17644263194
LACZ,0.0,-2.0
TRE6PH,0.0,-2.0
PPC,0.0,147.3617097554476
ALDD4,0.0,-2.0
G3PT,0.0,-2.0000000000001137
CINNDO,0.0,-2.0
DHPPD,0.0,-2.000000000001819
DHCIND,0.0,4334.32017131847
CITL,0.0,688.5945495663321
GOFUCR,0.0,-2.0
PYDXK,0.0,1618.3287505020753
GTPCII2,0.0002959350837163352,-2.0
URIC,0.0,-2.0
SADT2,0.16421212194683038,-2.000000000001819
PFK_2,0.0,-2.0
PGLYCP,0.0,-2.0
GLXCL,0.0,1376.6140283334048
TARTD,0.0,-2.0
GLCRAL,0.0,-2.0
KAS14,0.0,5790.6803625855355
EDTXS1,0.0,-2.0
EDTXS2,0.0,-2.0
EDTXS3,0.0,-2.0
EDTXS4,0.0,-2.0
EX_tmao_e,-0.0,-2.0
NNDPR,0.0015115249343153891,-2.0
AACPS1,0.0,684684.1652261225
SDPDS,0.2461363752679167,-2.0
DMSOR1,0.0,-2.0000000000027853
DKGLCNR2y,0.0,63.98702060896932
2DGULRy,0.0,-2.0
RZ5PP,0.0,-2.0
NTD9,0.0,523.8959652964897
NTD10,0.0,809.7192636226231
ADPT,0.0,231.90396612040004
OCTDPS,0.00014796754185816762,-2.0
EX_26dap__M_e,0.0,3604.8896850174883
EX_acnam_e,0.0,2108.3202070002194
EX_amp_e,0.0,16596.79686185864
EX_dha_e,0.0,282.92817975937066
EX_fuc__L_e,0.0,76914.2836475935
EX_glyald_e,0.0,425.6048000526806
AACPS2,0.0,674899.2871499052
AACPS3,0.0,684341.2527105614
AACPS4,0.0,-2.0
EX_rmn_e,0.0,1525.7101424180364
EX_ttdca_e,0.0,19496.050704048543
AMANK,0.0,-2.0
EX_glyclt_e,0.0,549.7112245630753
EX_g6p_e,0.0,1401.4526850054424
